timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784612016743,12,GET CSRF Token,200,,Usuarios Concurrentes - Login y Quarentena 1-2,,true,,554,125,2,2,http://localhost:8080/api/auth/csrf,12,0,4
1784612016226,87,GET CSRF Token,200,,Usuarios Concurrentes - Login y Quarentena 1-1,,true,,554,125,1,1,http://localhost:8080/api/auth/csrf,78,0,60
1784612017408,6,GET CSRF Token,200,,Usuarios Concurrentes - Login y Quarentena 1-3,,true,,554,125,3,3,http://localhost:8080/api/auth/csrf,6,0,2
1784612018512,901,Login (Usuario),200,,Usuarios Concurrentes - Login y Quarentena 1-2,text,true,,685,368,3,3,http://localhost:8080/api/auth/login,899,0,18
1784612018512,950,Login (Usuario),200,,Usuarios Concurrentes - Login y Quarentena 1-1,text,true,,685,368,3,3,http://localhost:8080/api/auth/login,949,0,18
1784612018512,982,Login (Usuario),200,,Usuarios Concurrentes - Login y Quarentena 1-3,text,true,,685,368,3,3,http://localhost:8080/api/auth/login,981,0,18
1784612019467,26,GET Quarantine,403,,Usuarios Concurrentes - Login y Quarentena 1-1,text,false,Test failed: code expected to contain /200/,627,312,3,3,http://localhost:8080/api/admin/quarantine,26,0,7
1784612019420,86,GET Quarantine,403,,Usuarios Concurrentes - Login y Quarentena 1-2,text,false,Test failed: code expected to contain /200/,627,312,3,3,http://localhost:8080/api/admin/quarantine,73,0,2
1784612019496,11,GET CSRF Token,200,,Usuarios Concurrentes - Login y Quarentena 1-1,,true,,471,227,3,3,http://localhost:8080/api/auth/csrf,11,0,1
1784612019495,26,GET Quarantine,403,,Usuarios Concurrentes - Login y Quarentena 1-3,text,false,Test failed: code expected to contain /200/,627,312,3,3,http://localhost:8080/api/admin/quarantine,24,0,1
1784612019509,13,GET CSRF Token,200,,Usuarios Concurrentes - Login y Quarentena 1-2,,true,,471,227,3,3,http://localhost:8080/api/auth/csrf,13,0,2
1784612019523,7,GET CSRF Token,200,,Usuarios Concurrentes - Login y Quarentena 1-3,,true,,471,227,3,3,http://localhost:8080/api/auth/csrf,7,0,2
1784612019525,1005,Login (Usuario),200,,Usuarios Concurrentes - Login y Quarentena 1-2,text,true,,596,413,3,3,http://localhost:8080/api/auth/login,1004,0,1
