timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1784559731159,7343,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: Host desconocido (app),Aprobacion/Rechazo Concurrente 2-1,text,false,,2513,0,5,18,0,0,7341
1784559733332,5174,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-5,text,false,,2234,0,5,18,0,0,5174
1784559732143,6361,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-3,text,false,,2234,0,5,18,0,0,6361
1784559732739,5766,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-4,text,false,,2234,0,5,18,0,0,5766
1784559731545,6959,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,,2234,0,5,18,0,0,6959
1784560060364,7308,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-1,text,false,,2234,0,5,18,0,0,7307
1784560060809,6863,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,,2234,0,5,18,0,0,6862
1784560061413,6259,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-3,text,false,,2234,0,5,18,0,0,6259
1784560062010,5662,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-4,text,false,,2234,0,5,18,0,0,5662
1784560062621,5051,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-5,text,false,,2234,0,5,18,0,0,5051
1784560070781,9,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-1,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,9
1784560070780,10,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Aprobacion/Rechazo Concurrente 2-2,text,false,Test failed: code expected to contain /200/,2150,0,5,18,0,0,10
