timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1784559731159,7345,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,,2234,0,3,18,0,0,7345
1784559731611,6893,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,,2234,0,3,18,0,0,6893
1784559732277,6228,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,,2234,0,3,18,0,0,6228
1784560061559,6113,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,,2234,0,3,18,0,0,6113
1784560060890,6782,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,,2234,0,3,18,0,0,6781
1784560060364,7308,GET CSRF Token,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,,2234,0,3,18,0,0,7307
1784560070780,10,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-1,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,10
1784560070781,9,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,9
1784560070781,9,Login (Supervisor),Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-2,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,9
1784560071040,0,GET Imagenes en Cuarentena,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: app,Consultar Galeria Cuarentena 3-3,text,false,Test failed: code expected to contain /200/,2150,0,3,18,0,0,0
